ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
173	breaking meat into small pieces	romper carne en múltiples pedazos		Deformation	to break meat into pieces	Food and drink, Quantity	VISUAL, AUDITORY
174	filing down an arrow	limar una flecha		Deformation	filing down arrow	Warfare and hunting	AUDITORY
175	tearing/peeling off in strips, e.g. a banana, tree bark, a page from a book	arrancar/pelar en tiras, p. ej., un plátano, la corteza de un árbol, la página de un libro		Deformation	peel off in strips	Basic actions and technology	VISUAL, AUDITORY
176	sawing wood	aserruchar madera		Deformation	sawing	Basic actions and technology	VISUAL, AUDITORY
177	pounding a hard substance	golpear una sustancia dura		Deformation	pounding hard object	Basic actions and technology	AUDITORY, TACTILE
178	splitting in two	partirse en dos		Deformation	split in two	Basic actions and technology	AUDITORY, VISUAL
179	cutting fruit off a tree	cortar/quitar la fruta de un árbol		Deformation	cutting fruit off a tree	Food and drink, Agriculture and vegetation	AUDITORY, VISUAL
180	tearing in half a thread, rope, or leaf	romper por la mitad un hilo, una soga o una hoja		Deformation	tear in half	Basic actions and technology	AUDITORY, VISUAL
181	breaking off fruit, e.g., pineapple	partir una fruta, p. ej., una piña		Deformation	breaking off fruit	Food and drink	AUDITORY, VISUAL
182	pulling weeds	jalar malezas		Deformation	to pull weeds	Agriculture and vegetation	VISUAL, AUDITORY
183	cutting fish or reed into pieces	cortar un pescado o una caña en pedazos		Deformation	cut into pieces	Basic actions and technology	AUDITORY, VISUAL
184	opening and closing eyes	abrir y cerrar los ojos		Opening and closing	opening and closing eyes	The body	VISUAL
185	extending a mat or a piece of clothing on the ground	extender una estera o una ropa en el suelo		Opening and closing	extend on the ground}	Basic actions and technology	VISUAL
186	stretching out/rolling out a roll of plastic, leafing through a book	estirar o desenrollar un rollo de plástico, hojear un libro		Opening and closing	stretch, roll out	Basic actions and technology	VISUAL
187	blocking a water stream with dry leaves and stones (to create a dam)	bloquear una corriente de agua con hojas secas y piedras (para crear una represa)		Opening and closing	to block a water stream	Basic actions and technology	VISUAL, AUDITORY
188	slamming the door shut	cerrar la puerta de golpe		Opening and closing	slamming door shut	The house	AUDITORY
189	appearance of localized swelling or rash as a result of an insect bite	aparición de una hinchazón o sarpullido local como resultado de la picadura de un insecto		Appearance and disappearance	swelling or rash	The body	VISUAL
190	gradual appearance of daylight	aparición gradual del sol		Appearance and disappearance	daylight gradually appearing	The physical world	VISUAL
191	sudden disappearnce [sic] of an object (e.g., a human, a snake)	desaparición súbita de un objeto (p. ej., un ser humano, una serpente)		Appearance and disappearance	sudden disappearance	Motion	VISUAL
192	eruption of oozing pockmarks or other festering sores	erupción de hoyuelos purulentos u otras llagas que forman pus		Appearance and disappearance	oozing	The body	VISUAL
193	coughing	toser		Human body functions and human activities	cough	The body	AUDITORY
194	many people talking	muchas personas hablando		Human body functions and human activities	many people talking	Speech and language, Quantity	AUDITORY
195	sneezing	estornudar		Human body functions and human activities	sneeze	The body	AUDITORY
196	having diarrhea	tener diarrea		Human body functions and human activities	diarrhea	The body	AUDITORY
197	having sex	tener sexo		"Human body functions and human activities". Marcado como "non-conventionalized item" por la autora.	having sex	The body	VISUAL, AUDITORY
198	men laughing	hombres riendo		Human body functions and human activities	men laughing	Emotion and values	AUDITORY
199	women laughing	mujeres riendo		Human body functions and human activities	women laughing	Emotion and values	AUDITORY
200	spitting saliva	escupir saliva		Human body functions and human activities	spit	The body	AUDITORY
201	washing clothes	lavar ropa		Human body functions and human activities	washing clothes	Clothing and grooming	VISUAL, AUDITORY
202	moving a canoe with a paddle	mover una canoa con un remo		Human body functions and human activities	moving a canoe with a paddle	Basic actions and technology	VISUAL
203	swallowing liquid	tragar líquido		Human body functions and human activities	swallow liquid	The body, Food and drink	AUDITORY
204	(vaginal) bleeding	sangrado (vaginal)		Human body functions and human activities	menstruate	The body	VISUAL
205	vomiting	vomitar		Human body functions and human activities	vomiting	The body	AUDITORY
206	urination	orinar		Human body functions and human activities	urinate	The body	AUDITORY
207	fanning the fire with a fan	avivar el fuego con un abanico		Human body functions and human activities	fanning a fire	Basic actions and technology	VISUAL, AUDITORY
208	chewing	masticar		Human body functions and human activities	chewing	The body, Food and drink	AUDITORY
209	sweeping the floor with a broom	barrer el piso con escoba		Human body functions and human activities	to sweep	Basic actions and technology	AUDITORY, VISUAL
210	getting undressed (removing clothes from the upper body, e.g., a hat, a shawl, a robe)	desvestirse (quitarse ropa de la mitad superior del cuerpo, p. ej., un sombrero, un chal, una cushma)		Human body functions and human activities	remove clothes from upper body	Clothing and grooming	VISUAL
211	stuffing the mouth with food	llenar la boca con comida		Human body functions and human activities	stuff mouth with food	The body, Food and drink	VISUAL
212	sewing/bead stringing	coser, ensartar cuentas		Human body functions and human activities	to sew, to string beads	Basic actions and technology	VISUAL
213	staring fixedly	mirar fijamente		Human body functions and human activities	staring	Sense perception	VISUAL
214	eating hot soup with a spoon	tomar sopa caliente con cuchara		Human body functions and human activities	eat soup with spoon	Food and drink	VISUAL, AUDITORY
215	body shaking	el cuerpo temblando		Human body functions and human activities	body shaking	The body	VISUAL
216	breaking wind (about young females)	tirarse un pedo (dicho de mujeres jóvenes)		Human body functions and human activities	young female fart	The body	AUDITORY
217	breaking wind loudly	tirarse un pedo ruidoso		Human body functions and human activities	loud fart	The body	AUDITORY
218	stretching body	estirar el cuerpo		Human body functions and human activities	stretching body	The body	VISUAL
219	rolling out cotton thread	desenrollar hilo de algodón		Human body functions and human activities	rolling out cotton thread	Clothing and grooming	VISUAL
220	arterial bleeding (gushing out)	sangrado arterial (saliendo a chorros)		Human body functions and human activities	bleeding	The body	VISUAL
221	sucking meat from bones	chupar la carne de los huesos		Human body functions and human activities	sucking bones	Food and drink	VISUAL, AUDITORY
222	dying body, agonizing in convulsions	cuerpo moribundo, agonizando con convulsiones		Human body functions and human activities	agonizing in convulsions	The body	INTERNAL STATE
223	waving with a folded hand, signalling an intention to talk	agitar una mano doblada, señalando la intención de hablar		Human body functions and human activities	waving someone with the intention to talk	Basic actions and technology	VISUAL
224	movement of water in a gourd or bottle when it is carried on the back	movimiento del agua en una calabaza o botella cuando se la lleva en la espalda		Other actions	water in container	Food and drink	AUDITORY
225	water boiling in a pot	agua hirviendo en una olla		Other actions	water boiling	Food and drink	AUDITORY, VISUAL
226	fermentation of manioc beer	fermentación del masato		Other actions	ferment	Food and drink	VISUAL
227	emptying water from a gourd or bottle	vaciar el agua de una calabaza o botella		Other actions	empty water from container	Food and drink	AUDITORY, VISUAL
228	becoming awake/conscious	despertarse/volver a la consciencia		Sudden awareness and stativity state	waking up	The body	INTERNAL STATE
229	being completely still	estar completamente quieto		Sudden awareness and stativity state	to be still	Motion	VISUAL
230	psychical appearance state: round object	estado de apariencia física: objeto redondo		Physical appearance state	to be round	Spatial relations	VISUAL
231	psychical appearance state: curved object	estado de apariencia física: objeto curvo		Physical appearance state	to be curved	Spatial relations	VISUAL
232	spreading numbness in the mouth cavity	la cavidad bucal adormeciéndose		Physical sensation state	numbness in mouth	The body	INTERNAL STATE
233	pain abating	dolor disminuyendo		Physical sensation state	pain abating	The body	INTERNAL STATE
234	sensation of diffusing odor	sensación de esparcir olor		Physical sensation state	to emit odour	The body	OLFACTORY
235	sensation of dull pain when a thorn or a wood sliver gets stuck in the skin	sensación de dolor sordo cuando una espina o astilla de madera se queda incrustada en la piel		Physical sensation state	thorn stuck in the skin	The body	TACTILE
236	sensation of a noisy disturbance in the stomach	sensación de molestia ruidosa en el estómago		Physical sensation state	stomach sounds	The body	INTERNAL STATE
237	general body ache	dolor general del cuerpo		Physical sensation state	body ache	The body	INTERNAL STATE
238	sensation of trembling knees; feeling cold inside the body	sensación de rodillas que tiemblan; sentir frío dentro del cuerpo		Physical sensation state	trembling knees, feeling cold	The body	INTERNAL STATE
239	feeling a stir inside the body or head	sensación interna de que la cabeza o el cuerpo da vueltas		Physical sensation state	to feel a stir	The body	INTERNAL STATE
240	sensation of dull pain in the stomach	sensación de dolor sordo en el estómago		Physical sensation state	stomachache	The body	INTERNAL STATE
241	being startled as a reaction to sudden stimuli, such as a touch or a noise	estar asustado como reacción a un estímulo súbito, como un toque o un ruido		Physical sensation state	to be startled	Emotion and values	INTERNAL STATE
242	quivering of body flesh while walking	el temblar de la carne del cuerpo al caminar			quivering	The body, Motion	VISUAL
243	attractive, flabby, fleshy body	cuerpo atractivo y gordo			attractive fleshy body	The body	VISUAL
244	thin	delgado			thin	The body	VISUAL
245	soft, limp	suave, flácido			soft	Sense perception	VISUAL, TACTILE
246	broad	ancho			broad	Spatial relations	VISUAL
247	heavy steps	pasos pesados			heavy steps	Basic actions and technology	VISUAL, AUDITORY
248	to walk on tiptoe	caminar de puntillas			to walk on tiptoe	Basic actions and technology	VISUAL
249	heart pounding in fear	corazón latiendo de miedo			heart pounding	Emotion and values	INTERNAL STATE
250	bent, curved	doblado, curvo			to be curved	Spatial relations	VISUAL
251	dipping slowly into water	meterse lentamente al agua			to dip into water	Motion	VISUAL
252	swollen	hinchado			swollen	Basic actions and technology	VISUAL
253	to stare hard at	mirar fijamente a			to stare	Sense perception	VISUAL
254	brave	valiente			brave	Emotion and values	?
255	sudden purposive movement, rushing around	movimiento intencional repentino, ir con prisa			sudden movement	Motion	VISUAL
256	hot	caliente			hot	Sense perception	TACTILE
257	fast movement	movimiento rápido			fast movement	Motion	VISUAL
258	white	blanco			white	Sense perception	VISUAL
259	weak	débil			weak	The body	INTERNAL STATE
260	neat and orderly	limpio y ordenado			neat, orderly	Sense perception	VISUAL
261	to throw	lanzar			to throw	Motion	VISUAL
262	animal shaking its tail	animal sacudiendo la cola			animal shaking its tail	Animals	VISUAL
263	to rain lightly	lloviznar			to rain lightly	The physical world	VISUAL
264	completely	completamente			completely	OTHER	?
265	peeling of skin	pelarse la piel			peeling of skin	The body	VISUAL
266	clear view, accessible	vision despejada, accesible			clear view	Sense perception	VISUAL
267	authoritative posture	postura autoritaria			authoritative posture	The body	VISUAL
268	a person crawling	una persona gateando			a person crawling	Basic actions and technology	VISUAL
269	to shut	cerrar			to shut	Basic actions and technology	AUDITORY, VISUAL
270	hit with a stick	golpear con un palo			hit with a stick	Basic actions and technology	VISUAL, AUDITORY
