ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Portuguese,Simplified,SemanticField,SensoryCategory
36,a part snapping off,,,quebrarse una parte,,,,Basic actions and technology
37,tells the listener to pay attention,,,indica al oyente que preste atención,,"JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama sound symbolic word.",,OTHER
38,sudden absence / sudden action,,,ausencia repentina / acción repentina,,,,Motion
39,describes a distance for throwing an object,,,describe la distancia de lanzar un objeto,,,,Motion
40,the sound of an object landing heavily into the water,,,el sonido de un objeto cayendo pesadamente en el agua,,,,Motion
41,crawling away,,,arrastrarse,,,,Basic actions and technology
42,expression denoting something is abput to happen,,,expresión que denota que algo está a punto de pasar,,"JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama sound symbolic word.",,OTHER
43,"expression of glee asking listeners to pay attention to the leading character in the story, who is about to outwit the opressor",,,expresión de júbilo pidiéndole a los oyentes que presten atención al personaje principal del cuento,,"JMS: No estoy seguro de que sea un ideófono, parece una interjección, el autor lo llama sound symbolic word.",,OTHER
44,empathising expression poor one,,,expresión empática pobrecito,,"JMS: No parece ideófono, sino interjección.",,OTHER
45,an object or someone falling slowly onto the ground,,,algo o alguien cayendo lentamente al suelo,,,,Motion
46,the flying of a huge bird such as the eagle,,,el vuelo de un ave grande como por ejemplo el águila,,,,Animals
47,the clumsy dancing of a huge person such a a giant,,,el baile torpe de una persona grande como por ejemplo un gigante,,,,Basic actions and technology
48,tired; blowing,,,cansado; soplar,,,,The body
49,something/someone falling,,,algo o alguien cayendo,,,,Motion
50,someone sliding,,,alguien deslizándose,,,,Basic actions and technology
51,someone snoring/sleeping,,,alguien roncando/durmiendo,,,,The body
53,big,,,grande,,,,Spatial relations
55,water boiling,,,agua hirviendo,,,,Food and drink
56,the movement of a person going or coming,,,movimiento de una persona yendo o viniendo,,,,Motion
57,wiggle,,,menearse,,,,Motion
58,pull (repeatedly),,,jalar (repetidamente),,,,Basic actions and technology
59,flap,,,aletear de alas,,,,Animals
60,grabbing,,,acción de agarrar,,,,Basic actions and technology
61,jumping,,,acción de saltar,,,,Basic actions and technology
62,action of paddling,,,accion de remar,,,,Basic actions and technology
63,dying,,,morir,,,,The body
64,flapping (wings) clumsily,,,aletear alas torpemente,,,,Animals
66,croak (frog),,,croar de una rana,,,,Animals
67,jump into a canoe,,,saltar hacia una canoa,,,,Basic actions and technology
68,arrival of moon,,,llegada de la luna,,Ideófono que el autor extrajo de una leyenda.,,"Religion and belief, Motion"
69,glidding movement of canoe,,,movimiento deslizante de la canoa,,,,Basic actions and technology
70,movement of canoe in shallow water,,,movimiento de la canoa en agua poco profunda,,,,Basic actions and technology
71,climbing a tree,,,trepar un árbol,,,,Motion
72,screaming,,,gritar,,,,Speech and language
73,falling into the water,,,caer al agua,,,,Motion
74,munching,,,masticar,,,,"Food and drink, The body"
75,creep up,,,"acercarse sigilosamente, sin hacer ruido",,,,Motion
76,hit hard an object against another hard object,,,golpear con fuerza un objeto duro contra otro objeto duro,,,,Basic actions and technology
77,squeeze through,,,"entrar apretadamente en, apretujarse entre",,,,Motion
78,flapping of wings,,,aletear de alas,,,,Animals
79,person walking,,,persona caminando,,,,Motion
80,"coming out, appearing",,,"salir, aparecer",,,,Motion
81,lifted up,,,levantado,,,,Motion
82,beat to death,,,matar a golpes,,Ideófono que el autor extrajo de una leyenda.,,Warfare and hunting
83,finish beating and throw out,,,terminar de golpear y (luego) botar/echar,,Ideófono que el autor extrajo de una leyenda.,,Basic actions and technology
84,short time passing,,,pasar poco tiempo,,,,Time
85,arrived,,,llegado,,,,Motion
86,clearing field,,,limpiar campo,,,,Agriculture and vegetation
87,digging of debris,,,excavación de escombro,,Ideófono que el autor extrajo de una leyenda.,,Basic actions and technology
88,pick up,,,recoger,,,,Basic actions and technology
89,"put dirt on top of, pour out",,,"poner tierra encima de, verter",,,,Basic actions and technology
90,stamping,,,zapatear/pisotear,,,,Basic actions and technology
91,bird falling/struggling to flap wings,,,ave cayendo o con dificultad para aletear,,,,Animals
92,hammock swinging,,,hamaca balanceándose,,,,Basic actions and technology
93,trees falling,,,árboles cayendo,,,,"Agriculture and vegetation, Motion"
94,flute music,,,música de la flauta,,,,Basic actions and technology
95,gourds rattling,,,cascabeleo de calabazas,,,,Basic actions and technology
96,stepping into water,,,entrar al agua (alguien?),,,,Motion
97,fast approach,,,acercarse/aproximarse rápidamente,,,,Motion
98,sound of wind,,,sonido del viento,,,,The physical world
99,bang,,,disparo,,,,Basic actions and technology
100,roaring waterfall,,,ruido de cascada,,Nature sounds,,The physical world
101,water level rising quickly in the river,,,nivel del agua subiendo rápidamente en el río,,Nature sounds,,The physical world
102,water level rising slowly,,,nivel del agua subiendo lentamente,,Nature sounds,,The physical world
103,rain drizzling / rain drops falling,,,lluvia cayendo en gotas / caída de gotas de lluvia,,Nature sounds,,The physical world
104,bird wings flapping,,,aleteo de alas de ave,,Nature sounds,,Animals
105,stream or any liquid trickling,,,una corriente o cualquier líquido chorreando en un hilo,,Nature sounds,,The physical world
106,wind in the trees,,,viento en los árboles,,Nature sounds,,The physical world
107,foam/bubbles appearing in a water stream,,,espuma/burbujas apareciendo en una corriente de agua,,Nature sounds,,The physical world
108,smoke or mist rising,,,humo o vapor subiendo,,Nature sounds,,The physical world
109,dry leaves rustling,,,hojas secas crujiendo,,Nature sounds,,Agriculture and vegetation
110,"rain, waterfall falling",,,caída de lluvia o cascada,,Nature sounds,,The physical world
111,tunder,,,trueno,,Nature sounds,,The physical world
112,bell ringing,,,hacer sonar una campana,,Human sounds,,Basic actions and technology
113,drumming,,,tocar el tambor,,Human sounds,,Basic actions and technology
114,gunfire,,,disparo,,Human sounds,,Warfare and hunting
115,"dawn, disappearance of darkness",,,"amanecer, desaparición de la oscuridad",,"Light, fire",,The physical world
116,burning (fire),,,arder (un fuego),,"Light, fire",,The physical world
117,blinking light,,,luz parpadeante,,"Light, fire",,The physical world
118,brilliance (of the sun),,,brillo (del sol),,"Light, fire",,The physical world
119,leaping like a deer,,,brincar como un venado,,Movement. Marcado como non-conventionalized item por la autora.,,Animals
120,a woman walking in high heels,,,una mujer caminando con tacones altos,,Movement. Marcado como non-conventionalized item por la autora.,,Clothing and grooming
121,walking or dancing while twisting at the hips,,,caminar o bailar girando las caderas,,Movement,,Motion
122,"moving in a single straight line, e.g., the flight of a meteor",,,"moverse en línea recta, p. ej., el vuelo de un meteorito",,Movement,,Motion
123,a flock of birds flying in one direction,,,una bandada de aves volando en una dirección,,Movement,,Animals
124,moving/walking fast,,,moverse/caminar rápido,,Movement,,Motion
125,moving up or down a tree,,,subir o bajar a lo largo de un árbol,,Movement,,Motion
126,moving/walking slowly,,,moverse/caminar lento,,Movement,,Motion
127,limping,,,cojear,,Movement,,Motion
128,slowly climbing up a tree,,,trepar lentamente un árbol,,Movement,,Motion
129,slipping down a tree,,,bajar de un árbol deslizándose?,,Movement,,Motion
130,twisting movement,,,movimiento giratorio?,,Movement,,Motion
131,turning/walking around an object,,,girar uno mismo/girar alrededor de un objeto,,Movement,,Motion
132,leaping like a frog,,,brincar como una rana,,Movement,,Animals
134,"moving in a curved trajectory, e.g., a snake, a river",,,"moverse siguiendo un trayecto curvo, p. ej., una serpiente, un río",,Movement,,Motion
135,walking with bouncing breasts (about a woman),,,caminar con senos que rebotan (dicho de una mujer),,Movement. Marcado como non-conventionalized item por la autora.,,"The body, Motion"
136,walking on the outside edge of the feet (about a child),,,caminar sobre el borde exterior de los pies (dicho de un niño),,Movement,,"The body, Motion"
137,walking like a duck,,,caminar como un pato,,Movement. Marcado como non-conventionalized item por la autora.,,Animals
138,painting a face or body,,,pintar una cara o un cuerpo,,Contact,,The physical world
139,grabbing a moving object,,,agarrar un objeto en movimiento,,Contact,,Basic actions and technology
140,"sticking a bandage, taking a picture, pressing heated leaves into the body",,,"colocar una venda, tomar una foto, presionar hojas calientes en el cuerpo",,Contact,,Basic actions and technology
141,"becoming unattached, separated, e.g., a tooth falling out, a sandal slipping off a foot",,,"desprenderse, separarse, p. ej., un diente que se cae, una sandalia que se sale del pie",,Contact,,Motion
142,grabbing a static object,,,agarrar un objeto estático,,Contact,,Basic actions and technology
143,"falling resulting in the disintegration of a fragile object, e.g., a mirror, a teacup",,,"caída que resulta en la desintegración de un objeto frágil, p. ej., un espejo, una taza",,Falling,,Motion
144,light object falling,,,caída de un objeto liviano,,Falling,,Motion
145,heavy object falling in water,,,caída de un objeto pesado en el agua,,Falling,,Motion
146,corn or grain feed for chickens falling,,,caída de maíz o granos para alimentar a pollos,,Falling,,Motion
147,many objects simultaneously falling,,,caída de muchos objetos simultáneamente,,Falling,,"Motion, Quantity"
148,"a metallic object falling, e.g., a coin, a can",,,"caída de un objeto metálico, p. ej., una moneda, una lata",,Falling,,Motion
149,light object falling in water,,,caída de un objeto liviano en el agua,,Falling,,Motion
150,"dispersal of multiple pieces on the ground, e.g., dust, sand, as a result of insect of animal [sic] digging, or wind blowing",,,"dispersión de múltiples piezas en el suelo, p. ej., polvo, arena, por efecto de un insecto o animal que cava, o por efecto del viento",,Falling,,Motion
151,heavy blow administered to a human body,,,golpe duro a un cuerpo humano,,Hitting,,Basic actions and technology
152,"hitting an inanimate object, e.g., crushing cotton mass with an arrow, hammering nails into wood",,,"golpear a un objeto inanimado, p. ej., aplastar una masa de algodón con una flecha, martillar clavos en una madera",,Hitting,,Basic actions and technology
153,blow administered to a human body,,,golpe a un cuerpo humano,,Hitting,,Basic actions and technology
154,"hitting a mushy object, e.g., manioc mass, with a wooden stick",,,"golpear un objeto pastoso, p. ej., masa de yuca, con un palo de madera",,Hitting,,Basic actions and technology
155,"crashing into a vacuous space, e.g., falling through the roof of the house",,,"chocar y entrar en un espacio vacío, p. ej., caerse atravesando el techo de la casa",,Penetration,,Motion
156,"entering solid space, e.g., an arrow piercing flesh",,,"entrar en un espacio sólido, p. e.j., una flecha que atraviesa la carne",,Penetration,,Motion
157,"effortlessly entering a vacuous space, e.g., an animal den",,,"entrar sin esfuerzo a un espacio vacío, p. ej., la madriguera de un animal",,Penetration,,Motion
158,"filling enclosed space with something, e.g., a bag with seeds",,,"llenar espacio vacío con algo, p. ej., una bolsa con semillas",,Penetration,,Motion
159,chopping firewood or a tree,,,cortar leña o un árbol,,Deformation,,Agriculture and vegetation
160,striking soft ground/digging with a machete,,,golpear tierra suave/cavar con un machete,,Deformation,,Basic actions and technology
161,tearing clothes,,,rasgar ropa,,Deformation,,Clothing and grooming
162,"harvesting leaves of medicinal plants, or cutting weeds with a machete, or slicing the kernels off the corn cob",,,"cosechar hojas de plantas medicinales, o cortar malezas con un machete, o cortar los granos de maíz para quitarlos de la mazorca",,Deformation,,Agriculture and vegetation
163,"removing strips of surface with a machete, knife, or razor",,,"sacar tiras de la superficie con machete, cuchillo o navaja",,Deformation,,Basic actions and technology
164,"splitting open watermelon, splitting thick firewood",,,"partir en dos una sandía, partir un leño grueso",,Deformation,,Basic actions and technology
165,bursting of a thread or rope,,,romperse un hilo o una soga,,Deformation,,Basic actions and technology
166,pulling weeds from the ground,,,jalar malezas del suelo,,Deformation,,Agriculture and vegetation
167,shredding/scratching/raking,,,cortar en tiras/rascar/rastrillar,,Deformation,,Basic actions and technology
168,cutting or breaking with hands firewood,,,cortar o romper con las manos la leña,,Deformation,,Agriculture and vegetation
169,"with leaves placed between the hands, rubbing the hands together to produce mushy substance with juice",,,"con hojas entre las manos, frotar las manos para producir sustancia pastosa con jugo",,Deformation,,Basic actions and technology
170,grinding leafy mass with a stone,,,moler sustancia hecha de hojas con piedra,,Deformation,,Basic actions and technology
171,"breaking food into multiple pieces, e.g. cooked manioc, squash, papaya",,,"romper comida en múltiples pedazos, p. ej., yuca sancochada, calabaza, papaya",,Deformation,,"Food and drink, Quantity"
172,"breaking something soft into pieces, e.g. a soft stone, cookie, bread, banana, cooked manioc",,,"romper algo suave en pedazos, p. ej., una piedra suave, una galleta, pan, plátano, yuca sancochada",,Deformation,,Basic actions and technology
173,breaking meat into small pieces,,,romper carne en múltiples pedazos,,Deformation,,"Food and drink, Quantity"
174,filing down an arrow,,,limar una flecha,,Deformation,,Warfare and hunting
175,"tearing/peeling off in strips, e.g. a banana, tree bark, a page from a book",,,"arrancar/pelar en tiras, p. ej., un plátano, la corteza de un árbol, la página de un libro",,Deformation,,Basic actions and technology
176,sawing wood,,,aserruchar madera,,Deformation,,Basic actions and technology
177,pounding a hard substance,,,golpear una sustancia dura,,Deformation,,Basic actions and technology
178,splitting in two,,,partirse en dos,,Deformation,,Basic actions and technology
179,cutting fruit off a tree,,,cortar/quitar la fruta de un árbol,,Deformation,,"Food and drink, Agriculture and vegetation"
180,"tearing in half a thread, rope, or leaf",,,"romper por la mitad un hilo, una soga o una hoja",,Deformation,,Basic actions and technology
181,"breaking off fruit, e.g., pineapple",,,"partir una fruta, p. ej., una piña",,Deformation,,Food and drink
182,pulling weeds,,,jalar malezas,,Deformation,,Agriculture and vegetation
183,cutting fish or reed into pieces,,,cortar un pescado o una caña en pedazos,,Deformation,,Basic actions and technology
184,opening and closing eyes,,,abrir y cerrar los ojos,,Opening and closing,,The body
185,extending a mat or a piece of clothing on the ground,,,extender una estera o una ropa en el suelo,,Opening and closing,,Basic actions and technology
186,"stretching out/rolling out a roll of plastic, leafing through a book",,,"estirar o desenrollar un rollo de plástico, hojear un libro",,Opening and closing,,Basic actions and technology
187,blocking a water stream with dry leaves and stones (to create a dam),,,bloquear una corriente de agua con hojas secas y piedras (para crear una represa),,Opening and closing,,Basic actions and technology
188,slamming the door shut,,,cerrar la puerta de golpe,,Opening and closing,,The house
189,appearance of localized swelling or rash as a result of an insect bite,,,aparición de una hinchazón o sarpullido local como resultado de la picadura de un insecto,,Appearance and disappearance,,The body
190,gradual appearance of daylight,,,aparición gradual del sol,,Appearance and disappearance,,The physical world
191,"sudden disappearnce [sic] of an object (e.g., a human, a snake)",,,"desaparición súbita de un objeto (p. ej., un ser humano, una serpente)",,Appearance and disappearance,,Motion
192,eruption of oozing pockmarks or other festering sores,,,erupción de hoyuelos purulentos u otras llagas que forman pus,,Appearance and disappearance,,The body
193,coughing,,,toser,,Human body functions and human activities,,The body
194,many people talking,,,muchas personas hablando,,Human body functions and human activities,,"Speech and language, Quantity"
196,having diarrhea,,,tener diarrea,,Human body functions and human activities,,The body
197,having sex,,,tener sexo,,Human body functions and human activities. Marcado como non-conventionalized item por la autora.,,The body
198,men laughing,,,hombres riendo,,Human body functions and human activities,,Emotion and values
200,spitting saliva,,,escupir saliva,,Human body functions and human activities,,The body
201,washing clothes,,,lavar ropa,,Human body functions and human activities,,Clothing and grooming
202,moving a canoe with a paddle,,,mover una canoa con un remo,,Human body functions and human activities,,Basic actions and technology
203,swallowing liquid,,,tragar líquido,,Human body functions and human activities,,"The body, Food and drink"
204,(vaginal) bleeding,,,sangrado (vaginal),,Human body functions and human activities,,The body
205,vomiting,,,vomitar,,Human body functions and human activities,,The body
206,urination,,,orinar,,Human body functions and human activities,,The body
207,fanning the fire with a fan,,,avivar el fuego con un abanico,,Human body functions and human activities,,Basic actions and technology
209,sweeping the floor with a broom,,,barrer el piso con escoba,,Human body functions and human activities,,Basic actions and technology
210,"getting undressed (removing clothes from the upper body, e.g., a hat, a shawl, a robe)",,,"desvestirse (quitarse ropa de la mitad superior del cuerpo, p. ej., un sombrero, un chal, una cushma)",,Human body functions and human activities,,Clothing and grooming
211,stuffing the mouth with food,,,llenar la boca con comida,,Human body functions and human activities,,"The body, Food and drink"
212,sewing/bead stringing,,,"coser, ensartar cuentas",,Human body functions and human activities,,Basic actions and technology
213,staring fixedly,,,mirar fijamente,,Human body functions and human activities,,Sense perception
214,eating hot soup with a spoon,,,tomar sopa caliente con cuchara,,Human body functions and human activities,,Food and drink
215,body shaking,,,el cuerpo temblando,,Human body functions and human activities,,The body
216,breaking wind (about young females),,,tirarse un pedo (dicho de mujeres jóvenes),,Human body functions and human activities,,The body
217,breaking wind loudly,,,tirarse un pedo ruidoso,,Human body functions and human activities,,The body
218,stretching body,,,estirar el cuerpo,,Human body functions and human activities,,The body
219,rolling out cotton thread,,,desenrollar hilo de algodón,,Human body functions and human activities,,Clothing and grooming
220,arterial bleeding (gushing out),,,sangrado arterial (saliendo a chorros),,Human body functions and human activities,,The body
221,sucking meat from bones,,,chupar la carne de los huesos,,Human body functions and human activities,,Food and drink
222,"dying body, agonizing in convulsions",,,"cuerpo moribundo, agonizando con convulsiones",,Human body functions and human activities,,The body
223,"waving with a folded hand, signalling an intention to talk",,,"agitar una mano doblada, señalando la intención de hablar",,Human body functions and human activities,,Basic actions and technology
224,movement of water in a gourd or bottle when it is carried on the back,,,movimiento del agua en una calabaza o botella cuando se la lleva en la espalda,,Other actions,,Food and drink
225,water boiling in a pot,,,agua hirviendo en una olla,,Other actions,,Food and drink
226,fermentation of manioc beer,,,fermentación del masato,,Other actions,,Food and drink
227,emptying water from a gourd or bottle,,,vaciar el agua de una calabaza o botella,,Other actions,,Food and drink
228,becoming awake/conscious,,,despertarse/volver a la consciencia,,Sudden awareness and stativity state,,The body
229,being completely still,,,estar completamente quieto,,Sudden awareness and stativity state,,Motion
230,psychical appearance state: round object,,,estado de apariencia física: objeto redondo,,Physical appearance state,,Spatial relations
231,psychical appearance state: curved object,,,estado de apariencia física: objeto curvo,,Physical appearance state,,Spatial relations
232,spreading numbness in the mouth cavity,,,la cavidad bucal adormeciéndose,,Physical sensation state,,The body
233,pain abating,,,dolor disminuyendo,,Physical sensation state,,The body
234,sensation of diffusing odor,,,sensación de esparcir olor,,Physical sensation state,,The body
235,sensation of dull pain when a thorn or a wood sliver gets stuck in the skin,,,sensación de dolor sordo cuando una espina o astilla de madera se queda incrustada en la piel,,Physical sensation state,,The body
236,sensation of a noisy disturbance in the stomach,,,sensación de molestia ruidosa en el estómago,,Physical sensation state,,The body
237,general body ache,,,dolor general del cuerpo,,Physical sensation state,,The body
238,sensation of trembling knees; feeling cold inside the body,,,sensación de rodillas que tiemblan; sentir frío dentro del cuerpo,,Physical sensation state,,The body
239,feeling a stir inside the body or head,,,sensación interna de que la cabeza o el cuerpo da vueltas,,Physical sensation state,,The body
240,sensation of dull pain in the stomach,,,sensación de dolor sordo en el estómago,,Physical sensation state,,The body
241,"being startled as a reaction to sudden stimuli, such as a touch or a noise",,,"estar asustado como reacción a un estímulo súbito, como un toque o un ruido",,Physical sensation state,,Emotion and values
242,quivering of body flesh while walking,,,el temblar de la carne del cuerpo al caminar,,,,"The body, Motion"
243,"attractive, flabby, fleshy body",,,cuerpo atractivo y gordo,,,,The body
244,thin,,,delgado,,,,The body
245,"soft, limp",,,"suave, flácido",,,,Sense perception
246,broad,,,ancho,,,,Spatial relations
247,heavy steps,,,pasos pesados,,,,Basic actions and technology
248,to walk on tiptoe,,,caminar de puntillas,,,,Basic actions and technology
249,heart pounding in fear,,,corazón latiendo de miedo,,,,Emotion and values
250,"bent, curved",,,"doblado, curvo",,,,Spatial relations
251,dipping slowly into water,,,meterse lentamente al agua,,,,Motion
252,swollen,,,hinchado,,,,Basic actions and technology
253,to stare hard at,,,mirar fijamente a,,,,Sense perception
254,brave,,,valiente,,,,Emotion and values
255,"sudden purposive movement, rushing around",,,"movimiento intencional repentino, ir con prisa",,,,Motion
256,hot,,,caliente,,,,Sense perception
257,fast movement,,,movimiento rápido,,,,Motion
258,white,,,blanco,,,,Sense perception
259,weak,,,débil,,,,The body
260,neat and orderly,,,limpio y ordenado,,,,Sense perception
261,to throw,,,lanzar,,,,Motion
262,animal shaking its tail,,,animal sacudiendo la cola,,,,Animals
263,to rain lightly,,,lloviznar,,,,The physical world
264,completely,,,completamente,,,,OTHER
265,peeling of skin,,,pelarse la piel,,,,The body
266,"clear view, accessible",,,"vision despejada, accesible",,,,Sense perception
267,authoritative posture,,,postura autoritaria,,,,The body
268,a person crawling,,,una persona gateando,,,,Basic actions and technology
269,to shut,,,cerrar,,,,Basic actions and technology
270,hit with a stick,,,golpear con un palo,,,,Basic actions and technology
271,crash!,,,¡crash! (choque),,,,Basic actions and technology
272,to crash (heavy object),,,chocar,,,,Basic actions and technology
273,"finished, completely",,,"terminado, completamente",,,,OTHER
274,"bang (of gun), hit with a stick",,,"estallido (de pistola), golpear con un palo",,,,Basic actions and technology
275,"busy, uproar",,,"ocupado, alboroto",,,,Sense perception
276,downcast,,,cabizbajo,,,,The body
277,extremely excited,,,extremamente emocionado,,,,Emotion and values
278,sound of open palm slapping flesh,,,sonido de la palma golpeando piel,,,,The body
279,dark,,,oscuro,,,,Sense perception
280,thud,,,golpe sordo,,,,Basic actions and technology
281,sound in fighting,,,sonido de pelear,,,,Warfare and hunting
282,pouncing with intent to destroy,,,saltar/abalanzarse con intención de destruir,,,,Basic actions and technology
283,to snore or gargle,,,roncar o hacer gárgaras,,,,The body
284,quick sinking action,,,acción de hundimiento rápido,,,,Motion
285,"growling, grumbling",,,"gruñir, quejarse",,,,Animals
286,strutting around,,,presumir,,,,Emotion and values
287,"complete, ready",,,"completo, listo",,,,OTHER
288,lightning flash,,,relámpago,,,,The physical world
289,animal running,,,animal corriendo,,,,Animals
290,short person,,,persona baja,,,,"The body, Spatial relations"
291,full,,,lleno,,,,Quantity
292,to chop wood,,,cortar madera,,,,Basic actions and technology
293,to limp,,,cojear,,,,"The body, Motion"
294,to flow (water),,,fluir (agua),,,,The physical world
295,"tall, long (boat)",,,"alto, largo (bote)",,,,Basic actions and technology
296,limp and rope-like,,,flácido y con forma de cuerda,,,,Spatial relations
297,round,,,redondo,,,,Spatial relations
299,glistening,,,brillante,,,,Sense perception
300,sweet,,,dulce,,,,Sense perception
301,"to sneak furtively, slow-witted",,,"ir a hurtadillas furtivamente, lento/poco inteligente",,,,Motion
302,red,,,rojo,,,,Sense perception
303,"bright (e.g., sun)",,,"brillante (p. ej., sol)",,,,Sense perception
304,sound of a gunshot,,,sonido de disparo,,,,Warfare and hunting
305,split in two,,,partido en dos,,,,Basic actions and technology
306,"wet, soft",,,"mojado, suave",,,,Sense perception
307,"quiet, calm; black, dark blue, dark green",,,"silencioso, calmado; negro, azul oscuro, verde oscuro",,,,Sense perception
308,skinny,,,flaco,,,,The body
309,hair cut short,,,cabello cortado y que quedó corto,,,,The body
310,"soft, wet",,,"suave, mojado",,,,Sense perception
311,to defecate,,,defecar,,,,The body
312,fat,,,gordo,,,,The body
313,narrow path,,,camino estrecho,,,,Motion
314,straight towards goal,,,de frente a una meta,,,,Motion
317,to walk straight to destination,,,caminar derecho a un destino,,,,Motion
318,"to chop, cut",,,cortar,,,,Basic actions and technology
319,to fling a little thing into the water,,,lanzar algo pequeño al agua,,,,Motion
320,embrace,,,abrazar,,,,"The body, Basic actions and technology"
321,to walk,,,caminar,,,,Motion
322,"scattered, spread out, chaotic",,,"esparcido, caótico",,,,Spatial relations
323,to stab,,,apuñalar,,,,Basic actions and technology
324,"rapid movement, flight",,,"movimiento rápido, volar",,,,Motion
325,deer running,,,venado corriendo,,,,Animals
326,woolly abundance,,,abundancia de algo lanudo,,,,Quantity
327,"repeated back-and-forth motion, e.g., wings flapping",,,"movimiento repetido de un lado a otro, p. ej., aleteo de alas",,,,Motion
328,swinging action,,,accion oscilante/con vaivén,,,,Motion
329,slow starting fire,,,fuego que se enciende lentamente,,,,The physical world
330,to flow,,,fluir,,,,Motion
331,cold,,,frío,,,,Sense perception
332,tenseness of object,,,tensión de un objeto,,,,Sense perception
333,to stagger,,,tambalearse,,,,Motion
334,to cut,,,cortar,,,,Basic actions and technology
336,exclamation of pain,,,exclamación de dolor,,,,Sense perception
337,to sneeze,,,estornudar,,,,The body
338,exclamation of disgust,,,exclamación de asco,,Marcado como interjección. El autor distingue entre interjecciones e ideófonos propiamente dichos.,,Emotion and values
339,"to conjure, to exhale smoke / to fly, to smoke",,,"conjurar, exhalar humo / volar, fumar",,Significado en narrativas / significado elicitado. Transcripción: [f:u].,,Basic actions and technology
340,sound of surprise / answer to call,,,sonido de sorpresa / respuesta a una llamada,,Significado en narrativas / significado elicitado. Marcado como interjección.,,Emotion and values
341,"to jump in the water / person bathing, to dive",,,"saltar al agua / bañarse, sumergirse",,Significado en narrativas / significado elicitado.,,Motion
342,jaguar swallowing a thorn / sound of animal (wolf?) [sic],,,jaguar tragándose una espina / sonido de animal (¿lobo?),,Significado en narrativas / significado elicitado.,,Animals
343,sonido de jaguar / jaguar,,,sonido de jaguar / jaguar,,Significado en narrativas / significado elicitado.,,Animals
344,bee humming,,,abeja zumbando,,"Sílabas sin espacios entre sí indican mayor rapidez, cf. hu hu hu hu.",,Animals
345,sound of scaring away,,,sonido de asustar,,,,Emotion and values
346,to have bad luck,,,tener mala suerte,,,,Emotion and values
348,exclamation the poor one!,,,exclamación ¡pobrecito!,,Marcado como interjección.,,Emotion and values
349,"to call, exclamation I don't know",,,"llamar, exclamación no sé",,Marcado como interjección. Transcripción: [kɔ:].,,Speech and language
350,to swallow (something big),,,tragar (algo grande),,,,"The body, Food and drink"
351,to drink,,,beber,,,,Food and drink
352,"to wash / to make a sound in the water with the hands, to wash skin or clothes",,,"lavar / hacer sonido con las manos, para lavar piel o ropa",,Significado en narrativas / significado elicitado.,,Clothing and grooming
353,"to enter a hole, to dress, to put something inside a thing",,,"entrar en un hueco, vestirse, poner algo dentro de algo",,,,Motion
354,to lie down in hammock,,,echarse en una hamaca,,,,Spatial relations
355,to climb a tree,,,trepar un árbol,,,,Basic actions and technology
356,"to pull, to unfasten one's hammock",,,"jalar, desatar una hamaca",,,,Basic actions and technology
357,"to drag, to pull",,,"arrastrar, jalar",,,,Basic actions and technology
